 ?enkova I.," Institute of Translation Studies, Charles University in Prague, Czech Republic"
Fabiyi C.,"Division of Community Health Sciences, School of Public Health, University of Illinois at Chicago, Chicago, IL, United States"
Fagerlund F.,"Dep. of Earth Sciences, Uppsala Univ., Villav_gen 16, 75236 Uppsala, Sweden"
Faini M.,"University of California, Berkeley, United States"
Fakhruddin K.S.,"Department of Preventive and Restorative Dentistry, College of Dental Medicine, University of Sharjah, Sharjah, United Arab Emirates"
Fan Y.,"Department of Computer Science, Sun Yat-sen University, Guangzhou 510006, China"
Fankhauser F 1st,"Lindenhof Hospital, Berne, Switzerland."
Fankhauser F.,"Lindenhof Hospital, Berne, Switzerland."
Farbenblum B.,"University of New South Wales, Australia"
Farget D.,"Section de Droit Civil, Facult_ de Droit, Universit_ d'Ottawa, Ottawa, Canada"
Farooq S.,"General Adult Psychiatry, Severn NHS Trust, Wotton Lawn Hospital, Horton Road, Gloucester G1 3PX, United Kingdom"
Farouki M.,"PGS, Germany"
Farouki M.T.,"PGS Asia Pacific Pte Ltd., Singapore"
Fatahi N.,"Department of Radiology, Sahlgrenska University Hospital, The Sahlgrenska Academy, Sweden"
Fatahi N.,"Department of Radiology, Sahlgrenska University Hospital, G_teborg University"
Fatahi N.,"Department of Primary Health Care, G_teborg University, G_teborg, Sweden"
Fathi R.,"University of Queensland, Brisbane, Australia"
Fauske H.K.,"Fauske and Associates Inc., Burr Ridge, IL 60527, United States"
Fayd'herbe K.,"Department of Education Training and the Arts, Australia"
Federici F.M.,"Centre for Translation Studies, University College London, United Kingdom"
Feigenberg E.,
Fein‡ugle C.A.,"Max Planck Institute, Luxembourg"
Feinauer I.,"Afrikaans and Dutch, Stellenbosch University, Cape Town, South Africa"
Feinberg W.,"University of Illinois at Urbana-Champaign, United States"
Felber G.A.,
Felberg T.R.,"Oslo and Akershus University, College of Applied Sciences, Norway"
Fengxia J.,"Graduate School of Translation and Interpretation, Beijing Foreign Studies University, China"
Fensham R.J.,"Queensland Herbarium, Mt Coot-tha Road, Toowong, QLD 4066, Australia"
Fereday Michael S.,"Inst of Linguists, United Kingdom"
Ferhatovi? D.,"English Department, Connecticut College, New London, CT 06320, United States"
Fern‡ndez C.M.,"Department of Pediatrics, University Clinic of Navarre, Avda. P’o XII, s/n, 31080 Pamplona Navarra, Spain"
Fernandez D.,"Hampton University Proton Therapy Institute, Virginia, USA"
Fernando M.,"Department of Industrial Management, University of Kelaniya, Sri Lanka"
Ferreira F.L.S.,"Digital Video Applications Lab., Federal University of Paraiba, Cidade Universit‡ria, Jo‹o Pessoa-PB, Brazil"
Ferreira V.D.S.,"Rheumatology Division, Universidade Federal de S‹o Paulo, S‹o Paulo, Brazil"
Ferreiro V‡zquez î.,"Universidade de Vigo, Spain"
Ferrucci F.,"Universita di Salerno, Salerno, Italy"
Feuerstein M.,"Center for Occupational Rehabilitation, University of Rochester Medical Center, Rochester, NY, United States"
Fiaschi L.,"School of Computer Science, University of Nottingham, Wollaton Road NG8 1BB, United Kingdom"
Ficara E.,
Ficchi V.,"University of Bologna, Italy"
Fichant M.,Centre d'ƒtudes Cart_siennes
Fickert C.,"Department of Computer Science & Engineering, Wright State University, Dayton, Ohio 45435, United States"
Fiegl M.,"Department of Molecular Hematology and Therapy and Stem Cell Transplantation and Cellular Therapy, University of Texas, M. D. Anderson Cancer Center, Houston, United States"
Field John,"Cornell Univ, United States"
Filho H.A.A.,"Departamento de Ciências Econ™micas e Doutor, Economia da Universidade Federal do Rio Grande do Sul, Av. Jo‹o Pessoa, 52, Porto Alegre - Rio Grande do Sul CEP 90.040-000, Brazil"
Filonova E.,"Centre for Translation Studies, University of Vienna, Vienna, Austria"
Finch A.,"Advanced Speech Translation Research and Development Promotion Center, Advanced Translation Technology Laboratory, National Institute of Information and Communications Technology, Kyoto, Japan"
Findlay L.,"Health Analysis Division, Statistics Canada, Ottawa, ON K1A 0T6, Canada"
Fiola M.A.,Universit_ du Qu_bec en Outaouais
Fiore N.,"Set-Lab., Software Engineering and Telemedia Laboratory, Department of Innovation Engineering, University of Lecce, Italy"
Fischer S.L.,"School of Kinesiology and Health Studies, Queen's University, 28 Division Street, Kingston, ON K7L3N6, Canada"
Fisette J.,Universit_ du Qu_bec ˆ Montr_al
Fiszman M.,"National Library of Medicine, National Institutes of Health, Department of Health and Human Services, Bethesda, Maryland 20894, USA."
Fitzpatrick S.,"University of Chicago, United States"
Flaherty M.P.,"University of Manitoba, Canada"
Fleming A.L.,"Department of Internal Medicine, University of Iowa Coll. of Medicine, Iowa City, IA 52242, United States"
Fletcher R.,"Osgoode Hall Law School, York University, Canada."
Flint D.J.,"Lackland Air Force Base, San Antonio, TX, United States"
Flores G.,"Division of General Pediatrics, Department of Pediatrics, UT Southwestern Medical Center, Dallas, TX, United States"
Flores G.,"Division of General Pediatrics, Department of Pediatrics, University of Texas Southwestern Medical Center, Dallas, TX, United States"
Flores G.,
Flores G.,"Department of Pediatrics, Medical College of Wisconsin, Children's Hospital of Wisconsin, Milwaukee, WI, United States"
Flynn P.M.,"Office of Women's Health, Mayo Clinic, Rochester, MN, United States"
Fomkin A.V.,Zarubezhneft GP RVO
Fong J.,"City University of Hong Kong, Hong Kong, Hong Kong"
Fonnes Flaten G.A.,"Department of Microbiology, University of Bergen, Jahnebakken 5, 5020 Bergen, Norway"
Fontana J.,"Universitat Pompeu Frabra, Spain"
Forestal E.,"Union County College, 1033 Springfield Ave., Cranford, NJ, United States"
Forestal E.M.,"Union County College, Cranford, NJ, United States"
Forestal L.,"Department of Speech and Hearing Science, Arizona State University, Tempe, AZ, United States"
Forst L.,
Forwood M.R.,"Department of Anatomical Sciences, The University of Queensland, Brisbane, 4072, Australia"
Foster A.L.,
Fox B.,"DG for Interpretation, European Commission, United Kingdom"
Francis A.,"Andrew Francis and Associates Ltd, Rodin House, Ripley Derbyshire, United Kingdom"
Francis M.,"Schlumberger, United States"
Frankel M.A.,"Interpretation Program, Gallaudet University"
Franken F.,"Forsteinrichtung und Naturschutz, Europastra§e 10-12, D-35394 Gie§en, Germany"
Frankov‡ V.,"òstav Humanitn’ch Studi’ V L_ka? stv’ 1. LF UK, Praha, Czech Republic"
Franta D.,"Lab. of Plasma Phys./Plasma Sources, Fac. of Science, Masaryk University, Kotl‡?sk‡ 2, 611 37 Brno, Czech Republic"
Franta D.,"Lab. of Plasma Phys./Plasma Sources, Faculty of Science, Masaryk University, Kotl‡?sk‡ 2, 611 37 Brno, Czech Republic"
Franta D.,"Lab. of Plasma Phys./Plasma Sources, Faculty of Science, Masaryk University, Kotl‡?sk‡ 2, Brno 611 37, Czech Republic"
Franta D.,"Lab. of Plasma Phys./Plasma Sources, Faculty of Science, Masaryk University, Kotl‡?sk‡ 2, 611 37 Brno, Czech Republic"
Franta D.,"Department of Solid State Physics, Faculty of Science, Masaryk University, Kotl‡?sk‡ 2, 611 37 Brno, Czech Republic"
Franta D.,"Department of Physical Electronics, Faculty of Science, Masaryk University, Kotl‡?sk‡ 2, 611 37 Brno, Czech Republic"
Frauenfelder U.H.,"Laboratoire de psycholinguistique exp_rimentale, FPSE, Universit_ de Genève, Geneva, Switzerland"
Freedman B.,
Freeman V.L.,"Midwest Center for Health Services and Policy Research, Department of Veterans Affairs, Edward Nines, Jr. Hospital, Hines, IL, United States"
Friedman M.A.,"US Food and Drug Administration, 5600 Fishers Lane, Rockville, MD 20857, United States"
Friedman M.J.,"Department of Mathematical Sciences, University of Alabama in Huntsville, Huntsville, AL, United States"
Frigo A.,
Frigo A.,
From N.,"Copenhagen Plant Science Centre, Department of Plant and Environmental Sciences, University of Copenhagen, Thorvaldsensvej 40, Frederiksberg C, Denmark"
Froude V.A.,"Pacific Eco-Logic, Deeming Road RD1, Russell, New Zealand"
Fryer C.E.,"School of Health Sciences, University of South Australia, Adelaide, Australia"
Fu J.,"University of Chinese Academy of Sciences, Beijing, China"
Fucic A.,"Institute for Medical Research and Occupational Health, Ksaverska c 2, Zagreb, Croatia"
Fung C.C.,"Center for Education, Development & Research, David Geffen School of Medicine at UCLA, Los Angeles, CA 90095-7381, USA."
Fung P.,"Institute of Educational Technology, Open University, Milton Keynes, United Kingdom"
ƒmile C.,"CH de Montfermeil (93), France"
G—mez F.L.,"Derecho Civil del Departamento de Derecho Privado, Universidad de Chile, Chile"
G‡l P.,"Department of Software Engineering, University of Szeged, Dugonics t_r 13., 6720 Szeged, Hungary"
G‡l P.,"Department of Software Engineering, University of Szeged, Dugonics t_r 13, 6720 Szeged, Hungary"
Gabriel P.,"Department of Family Practice, University of British Columbia, Canada"
Gaiba F.,"Syracuse University, United States"
Gainey K.J.,"Harvard Law School, California State University, Long Beach, United States"
Gaiser J.E.,ARCO Oil and Gas Co.
Galacteros F.,
Galacteros F.,"Service des Maladies G_n_tiques du Globule Rouge, H™pital Henri-Mondor, Cr_teil, France"
Galaz S.,"University of Granada, Department of Translation and Interpreting, C/Buensuceso 11, 18002 Granada, Spain"
Galione J.,"Department of Psychiatry and Human Behavior, Brown University School of Medicine, Rhode Island Hospital, Providence, RI, United States"
Gallagher D.R.,"University of Technology, Sydney, Australia"
Gallai F.,"University of Bologna, Dipartimento di Lingue, Letterature e Culture Moderne, LILEC, Via Cartoleria 5, Bologna, Italy"
Gallai F.,"University of Salford, United Kingdom"
Gallez E.,"KU Leuven, Faculty of Arts, Campus Antwerp, Sint-Andriesstraat 2, Antwerp, Belgium"
Gallez E.,"Faculty of Arts, KU Leuven, Campus Antwerpen, Sint-Andriesstraat 2, 2000 Antwerpen, Belgium"
Gallo G.,"Francesco Milanese, Davide Modica, Dipartimento di Matematica ed Informatica, Universit‡ di Catania, Catania, Italy"
Gamage N.,"Monash University Sunway Campus, Jalan Lagoon Selatan, Bandar Sunway, 46150 Selangor D.E., Malaysia"
Gambier Y.,"Universit_ de Turku, Turku, Finland"
Gansevoort R.T.,"Department of Nephrology, University Medical Center, Groningen, Netherlands"
Gany F.,"New York University School of Medicine, Department of Medicine, Center for Immigrant Health, New York, NY, United States"
Gany F.,"New York University School of Medicine, New York, NY, United States"
Gany F.,"Center for Immigrant Health, Department of Medicine, New York University School of Medicine, 550 First Avenue, OBV, CD-401, New York, NY 10016, United States"
Gany F.M.,"Center for Immigrant Health, New York University School of Medicine, 550 First Avenue, New York, NY 10016, United States"
Gao Z.,"Department of Marketing, Advertising and Legal Studies, Rider University, 2083 Lawrenceville Rd, Lawrenceville, NJ 08648, United States"
Garau S.,
Garc’a A.B.,"Universidad de Valladolid, Spain"
Garc’a A.M.,"Depto. 4A (segundo cuerpo), Falucho 1830, 7600 Mar del Plata, Buenos Aires, Argentina"
Garc’a-Crespo A.,"Computer Science dept, Carlos III University, Spain"
Garcia E.A.,"Mary Bridge Children's Hospital, Tacoma, WA, United States"
Garcia L.E.,"Cook County Public Defenders office in Chicago, United States"
Garc_s C.V.,"Universidad de Alcal‡ de Henares, Madrid, Spain"
Garc_s C.V.,"University of Alcal‡, Spain"
Garg S.,"Indian Institute of Technology, Mandi, India"
Garrett G.,"University of Southern California, Los angeles, CA, United States"
Gartley I.,"IBM Canada Ltd., Canada"
Garvey T.,
Garwood C.J.,"University of Bologna, Forl“, Italy"
Gary B.,
Gastaldo R.A.,"Department of Geology, Colby College, 5807 Mayflower Hill Drive, Waterville, ME, United States"
Gattuso J.,"Division of Nursing Research, St. Jude Children's Research Hospital, Memphis, TN, United States"
Gavioli L.,"Dipartimento di Studi Linguistici e Culturali, Universitˆ di Modena e Reggio Emilia, Largo Sant'Eufemia 19, Modena, Italy"
Gavioli L.,"Department of English Language and English-Italian Translation, University of Modena and Reggio Emilia, Largo Sant'Eufemia, 19, 41100 Modena, Italy"
Gazzaniga M.S.,"Center for Neuroscience, University of California Davis, Davis, CA, United States"
Gebala R.M.,"Department of Computer Science, California State University (Sacramento), Sacramento, CA 95819-6021, United States"
Geddes J.R.,"Department of Psychiatry, University of Oxford, Warneford Hospital, Oxford, United Kingdom"
Geeslin M.G.,"Department of Radiology and Medical Imaging, University of Virginia Health System, Box 800170, 1215 Lee Street, Charlottesville, VA, United States"
Geisler W.S.,"Center for Perceptual Systems, Department of Psychology, University of Texas at Austin, United States"
Gelfman M.H.,"Yale University School of Nursing, USA."
Gengshen H.,"Tsinghua University, China"
George O.,
Georgiades E.,"University of New South Wales, Sydney, Australia"
Gerber Y.,"Division of Cardiovascular Diseases, Mayo Clinic, Rochester, MN, United States"
Gerhards J.,"Freie Universit_t Berlin, Institut fŸr Soziologie, Garystra§e 55, 14195 Berlin, Germany"
Germann U.,
Gernsbacher M.A.,"Department of Psychology, University of Wisconsin-Madison, Department of Translation and Interpretation, Bar-Ilan University, Israel"
Gerolin A.,"Universitˆ Cattolica del Sacro Cuore, Milano, Italy"
Gerrish K.,"School of Nursing and Midwifery, University of Sheffield, Sheffield, United Kingdom"
Gerry B.C.,
Gheusi J.,
Ghotkar A.S.,"Pune Institute of Computer Technology, Department of Computer Engineering, University of Pune, Pune, India"
Giacobazzi R.,"University of Verona, Italy"
Giacomelli J.,"Murrumbidgee Health Service, Griffith, New South Wales, Australia."
Giacomini M.,"Department of Communication Computer and System Science, University of Genova, Genova, Italy"
Gifani P.,"Iran University of Science and Technology, Department of Biomedical Engineering, Tehran, Iran"
Gilbert G.,"International Human Rights and Humanitarian Law, University of Essex, United Kingdom"
Gilbert P.B.,"Department of Biostatistics, Harvard School of Public Health, Boston, MA, United States"
Gile D.,"Universitè Lumiƒre Lyon 2, 46, rue dÕalembert, Meudon, F-92190, France"
Gile D.,"Universit_ Lumière Lyon 2, ISIT, Paris, France"
Gile D.,"INALCO and CEEI (ISIT), 10, rue Pasteur, Paris Meudon, F-92190, France"
Gile D.,"INALCO Ñ Departement Coree-Japon, 2 rue de Lille, Paris, 75007, United Kingdom"
Gillett A.,"Macquarie University, Australia"
Gimenez S.,"Institute of Computer Science, University of Innsbruck, Innsbruck, Austria"
Ginde A.A.,"Department of Emergency Medicine, University of Colorado Denver School of Medicine, Aurora, CO, United States"
Ginde A.A.,"Department of Emergency Medicine, University of Colorado, Denver School of Medicine, Aurora, CO, United States"
Gindilis L.M.,Russian Academy of Space Travel
Gingerich A.J.,"Department of Natural Resources and Environmental Science, University of Illinois, Urbana, IL 61801, United States"
Giordano S.,
Girard B.,
Gla_ar B.,"Faculty of Electrical Engineering, University of Ljubljana, 1000 Ljubljana, Slovenia"
Glaser M.,"Language Development Group, Academic Development Programme, Centre for Higher Education Development, University of Cape Town, Private Bag, Rondebosch, 7701, South Africa"
Glickman N.S.,"Institute for Social and Rehabilitative Services, Assumption College, Worcester, MA, United States"
